"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","Genre","Running_Time","Keywords","Franchise"
"20","Feb 9, 2018","The 15:17 to Paris","$30,000,000","$12,554,286","$36,250,957","$56,070,897","Play","Drama","94 minutes","Non-Chronological, 2010s, Ex-soldier, Terrorism, Trains, Nightclub, Non Professional Actor, Autobiographical",NA
"21","Jul 21, 2017","Dunkirk","$150,000,000","$50,513,488","$190,068,280","$499,900,860","Play","Action","107 minutes","World War II, France, 1940s, Nazis, Germany, Mass Evacuation, War",NA
"22","Jun 2, 2017","Wonder Woman","$150,000,000","$103,251,471","$412,563,408","$821,133,378","Play","Action","141 minutes","D.C. Comics, War, World War I, Gods and Goddesses, Origin Story, Marooned, Greek Mythology, 1910s, Secret Agent, Development Hell, Prologue, Voiceover/Narration, Non-Chronological","DC Extended Universe"
"23","May 12, 2017","King Arthur: Legend of the …","$175,000,000","$15,371,270","$39,175,066","$139,950,708","Play","Adventure","126 minutes","Royalty, Prophecy, Orphan, Sword & Sorcerer, Footage Shown in Reverse, Young Child Dealing with the Death of a Parent, Revenge, Middle Ages",NA
"24","Apr 21, 2017","Unforgettable","$12,000,000","$4,785,431","$11,368,012","$16,221,211","Play","Thriller/Suspense","114 minutes","Romance, Relationships Gone Wrong, Obsessive Love, The Other Woman, Social Media",NA
"25","Mar 24, 2017","CHiPS","$25,000,000","$7,722,802","$18,600,152","$23,190,697","Play","Action","100 minutes","California, Hollywood, Corrupt Cops, Undercover, FBI, Buddy Cop, Adapted as a Comedy, Directing Yourself, Screenplay Written By the Star, Family Affair",NA
"26","Mar 15, 2017","Frantz","","$18,745","$880,883","$7,356,327","","Drama","113 minutes","World War I, Germany, Death of a Spouse or Fiancée / Fiancé, Retro Black and White, Suicide, Suicide Attempt, Voiceover/Narration, 1910s, Bigotry, Depression, Non-Chronological",NA
"27","Mar 10, 2017","Kong: Skull Island","$185,000,000","$61,025,472","$168,052,812","$561,089,941","Play","Adventure","118 minutes","Creature Features, Character POV shot, 1970s, Prequel, Reboot, Franchise Crossover, Visual Effects, Scene in End Credits","King KongMonsterVerse"
"28","Feb 24, 2017","The Girl with all the Gifts","$5,250,000","","","$4,801,837","","Horror","111 minutes","Novel or Other Work Adapted by Author, Young Adult Book Adaptation, Post Apocalypse, Zombies, Human Experimentation, Medical and Hospitals, Coming of Age",NA
"29","Feb 10, 2017","The Lego Batman Movie","$80,000,000","$53,003,468","$175,750,384","$310,692,896","Play","Adventure","106 minutes","D.C. Comics, Vigilante, Adopted Family, Living Toys, Gratuitous Cameos","Lego"
"30","Dec 25, 2016","Live by Night","$65,000,000","$33,336","$10,378,555","$21,778,555","Play","Drama","129 minutes","Dysfunctional Family, Directing Yourself, Organized Crime, 1920s, 1930s, Prohibition Era, Voiceover/Narration, Miami, Immigration, Religious",NA
"31","Nov 18, 2016","Fantastic Beasts and Where …","$180,000,000","$74,403,387","$234,037,575","$802,437,668","Play","Adventure","133 minutes","1920s, Prequel, New York City, Secret Magic, Supernatural, Monster, Cryptozoology, Secret Societies","Harry PotterFantastic Beasts and Where to Find Them"
"32","Oct 14, 2016","The Accountant","$40,000,000","$24,710,273","$86,260,045","$152,967,088","Play","Thriller/Suspense","128 minutes","Accountants, Organized Crime, White Collar Crime, Child Prodigy, Mental Illness",NA
"33","Sep 23, 2016","The Age of Shadows","","$165,685","$540,268","$51,948,102","","Action","140 minutes","Japan, Resistance Fighter, Undercover, 1920s, Korea",NA
"34","Sep 12, 2016","Rurôni Kenshin: Kyôto tai…","","","","","","Action","138 minutes","Live Action Cartoon, 1870s, Japan, Revenge, Assassination",NA
"35","Sep 9, 2016","Sully","$60,000,000","$35,028,301","$125,070,033","$238,535,513","Play","Drama","96 minutes","In a Plane, Disaster, Autobiographical, 2000s, New York City, Biography",NA
"36","Aug 19, 2016","War Dogs","$50,000,000","$14,685,305","$43,034,523","$86,234,523","Play","Comedy","114 minutes","2000s, War Profiteers, Afghanistan War",NA
"37","Aug 5, 2016","Suicide Squad","$175,000,000","$133,682,248","$325,100,054","$746,100,054","Play","Action","123 minutes","Ensemble, Villain's Point of View, Mercenaries, D.C. Comics, Prison, Cruel Wardens or Prison Guards, Voiceover/Narration, Non-Chronological, Intertitle, Scene in End Credits, Revenge, Death of a Spouse or Fiancée / Fiancé, Death of a Sibling, Possessed, Mutants","DC Extended Universe"
"38","Jul 29, 2016","Ants on a Shrimp","","","","$65,663","","Documentary","93 minutes","Restaurants, Chef, Food, Tokyo",NA
"39","Jul 1, 2016","The Legend of Tarzan","$180,000,000","$38,527,856","$126,643,061","$349,022,570","Play","Adventure","110 minutes","Africa, Animal Lead, Government Corruption",NA
"40","May 20, 2016","The Nice Guys","$50,000,000","$11,203,270","$36,261,763","$59,140,907","Play","Black Comedy","116 minutes","Private Investigator, 1970s, Los Angeles, Missing Person, Government Corruption",NA
"41","Mar 25, 2016","Batman v Superman: Dawn of …","$250,000,000","$166,007,347","$330,360,194","$867,822,763","Play","Action","151 minutes","Franchise Crossover, D.C. Comics, Vigilante, Non-Chronological, Dream Sequence, Prophetic Dreams","Man of SteelSupermanBatmanDC Extended Universe"
"42","Mar 18, 2016","Midnight Special","$18,000,000","$190,012","$3,712,282","$7,680,250","Play","Drama","102 minutes","Fugitive / On the Run, Cults, Religious",NA
"43","Dec 11, 2015","In the Heart of the Sea","$100,000,000","$11,053,366","$25,020,758","$89,693,309","Play","Adventure","121 minutes","Animals Gone Bad, On a Boat, Marooned, Cannibalism, 1800s, Same Role, Multiple Actors, Lost At Sea",NA
"44","Nov 25, 2015","Creed","$37,000,000","$29,632,823","$109,767,581","$173,567,581","Play","Drama","133 minutes","Boxing, Delayed Sequel, Inspirational Coach, Philadelphia","Rocky"
"45","Oct 30, 2015","Our Brand is Crisis","$28,000,000","$3,249,242","$7,002,261","$8,594,558","Play","Drama","100 minutes","Bolivia, Political, Political Campaign, 2000s, Professional Rivalry",NA
"46","Oct 9, 2015","Pan","$150,000,000","$15,315,435","$35,088,320","$151,543,635","Play","Adventure","111 minutes","Pirates, Fairies, 3-D, Origin Story, Orphan, Whitewashed Casting, 1940s, Character POV shot, 1930s, Surprise Twist, Native Americans, Coming of Age, Kidnap, Slow Motion Scene, Swashbuckler",NA
"47","Sep 18, 2015","Black Mass","$53,000,000","$22,635,037","$62,575,678","$98,837,872","Play","Drama","122 minutes","Hitmen, Biography, 1970s, Boston, Organized Crime, Mafia, FBI, Crime Thriller, True Crime, Confidential Informant, 1980s",NA
"48","Jul 1, 2015","Magic Mike XXL","$14,500,000","$12,857,184","$66,013,057","$123,709,460","Play","Comedy","115 minutes","Strippers / Stripping, Retirement, One Last Job, Screenplay Written By the Star","Magic Mike"
"49","Mar 27, 2015","Get Hard","$40,000,000","$33,803,253","$90,411,453","$106,511,453","Play","Comedy","99 minutes","White Collar Crime, Buddy Comedy, Prison, Bigotry, Falsely Accused, Intertitle",NA
"50","Feb 27, 2015","Zhong Kui fu mo: Xue yao mo…","","$73,817","$165,428","$64,036,296","","Action","118 minutes","3-D, Romance, Chinese Mythology, 3-D - Shot in 3-D",NA
"51","Feb 6, 2015","Jupiter Ascending","$179,000,000","$18,372,372","$47,482,519","$181,982,519","Play","Action","127 minutes","Royalty, Alien Invasion, Romance, Space Opera, Sibling Rivalry, Animal Lead, Animal Hybrids",NA
"52","Jun 6, 2014","Edge of Tomorrow","$178,000,000","$28,760,246","$100,206,256","$370,541,256","Play","Action","136 minutes","Alien Invasion, War, Time Travel, Visual Effects",NA
"53","Apr 4, 2014","Island of Lemurs: Madagascar","","$188,307","$11,111,906","$11,385,187","Play","Documentary","39 minutes","Nature Documentary, Animal Lead, Environment, Agitprop, Voiceover/Narration, 3-D, 3-D - Shot in 3-D, Digital Cinematography",NA
"54","Dec 25, 2013","Grudge Match","$40,000,000","$7,021,993","$29,807,260","$69,807,260","Play","Comedy","113 minutes","Boxing, Comeback, Retirement, Out of Retirement",NA
"55","Oct 4, 2013","Gravity","$110,000,000","$55,785,112","$274,092,705","$693,698,673","Play","Thriller/Suspense","91 minutes","3-D, Space Program, Marooned, Rescue, 3-D - Shot in 3-D, One Last Job, Death of a Son or Daughter, Hallucinations, Voiceover/Narration, 2014 Oscars Best Picture Nominee",NA
"56","Aug 30, 2013","Getaway","$18,000,000","$4,503,892","$10,501,938","$11,813,989","Play","Thriller/Suspense","89 minutes","Kidnap, Rescue, Hackers, Internet, Car Chase, Auto Racing, Unnamed Character, Surprise Twist",NA
"57","Jul 12, 2013","Pacific Rim","$190,000,000","$37,285,325","$101,802,906","$411,002,906","Play","Action","131 minutes","End of the World, Visual Effects, Robot, Kaiju, Creature Features, Lovecraftian, Prologue, Voiceover/Narration, 3-D, Mecha, Survivor's Guilt","Pacific Rim"
"58","Jun 14, 2013","Man of Steel","$225,000,000","$116,619,362","$291,045,518","$667,999,518","Play","Action","142 minutes","D.C. Comics, Friendly Alien on Earth, Alien Invasion, Young Child Dealing with the Death of a Parent, Adopted Family, Visual Effects, Reboot, 3-D, Life on a Farm","SupermanDC Extended Universe"
"59","May 23, 2013","The Hangover 3","$103,000,000","$41,671,198","$112,200,072","$362,000,072","Play","Comedy","100 minutes","Mental Illness, Organized Crime, Kidnap, Rescue, Ensemble","Hangover"
"60","May 10, 2013","The Great Gatsby","$190,000,000","$50,085,184","$144,840,419","$351,040,419","Play","Drama","141 minutes","Romance, Costume Drama, Unrequited Love, Relationships Gone Wrong, Ensemble, World War I, Returning Soldiers, Wall Street, 3-D, Intentionally Anachronistic",NA
"61","Apr 12, 2013","42","$40,000,000","$27,487,144","$95,020,213","$97,470,701","Play","Drama","88 minutes","Baseball, Bigotry, Discrimination, African-American, Biography, Inspirational Sports",NA
"62","Feb 1, 2013","Bullet to the Head","$55,000,000","$4,548,201","$9,489,829","$22,597,969","Play","Action","91 minutes","Hitmen, Buddy Cop, Kidnap, Rescue, Revenge, Martial Arts, Organized Crime",NA
"63","Jan 11, 2013","Gangster Squad","$60,000,000","$17,070,347","$46,000,903","$104,100,903","Play","Drama","110 minutes","Organized Crime, Mafia, Narcotics, Prostitution, Gambling, Corrupt Cops, Government Corruption, Film Noir, Ensemble",NA
"64","Oct 26, 2012","Cloud Atlas","$102,000,000","$9,612,247","$27,108,272","$130,673,154","Play","Drama","172 minutes","IMAX: DMR, Cloning, Dystopia, Same Actor, Multiple Roles, Ensemble, Post Apocalypse, Segments, Cross-Dressing, Genderbending Casting, Whitewashed Casting, Invented Language, LGBT, Conspiracy Theory, Investigative Journalist",NA
"65","Oct 12, 2012","Argo","$44,500,000","$19,458,109","$136,025,503","$227,140,757","Play","Thriller/Suspense","120 minutes","Secret Agent, Rescue, Movie Business, Rebellion, Undercover, Hostage, Political, False Identity, Oscars Best Picture Winner, 2013 Oscars Best Picture Nominee",NA
"66","Oct 9, 2012","Happiness is...Peanuts: Go,…","","","","","","Comedy","300 minutes",NA,NA
"67","Sep 21, 2012","Trouble with the Curve","$60,000,000","$12,162,040","$35,763,137","$47,818,913","Play","Drama","111 minutes","Baseball, Autumn Years, Lawyers, Dysfunctional Family",NA
"68","Aug 24, 2012","The Apparition","$17,000,000","$2,841,488","$4,936,819","$10,637,281","Play","Horror","82 minutes","Paranormal Investigation, Hauntings, Academics, France, Vatican City",NA
"69","Aug 10, 2012","The Campaign","$95,000,000","$26,588,460","$86,907,746","$104,907,746","Play","Comedy","85 minutes","Political, Political Campaign, Corporate Malfeasance, Government Corruption, Gratuitous Cameos",NA
"70","Jul 20, 2012","The Dark Knight Rises","$275,000,000","$160,887,295","$448,139,099","$1,084,439,099","Play","Action","164 minutes","Vigilante, Terrorism, Fugitive / On the Run, Non-Chronological, Surprise Twist, Secret Identity, IMAX: DMR","BatmanDark Knight Trilogy"
"71","Jun 29, 2012","Magic Mike","$7,000,000","$39,127,170","$113,721,571","$170,549,753","Play","Comedy","109 minutes","Autobiographical, Screenplay Written By the Star, Inspired by a True Story, Strippers / Stripping, Romance","Magic Mike"
"72","May 11, 2012","Dark Shadows","$150,000,000","$29,685,274","$79,727,149","$238,202,668","Play","Black Comedy","112 minutes","Vampire, Curses, Time Travel, Culture Clash, Unrequited Love, Dysfunctional Family, Romance, Epilogue, Voiceover/Narration, Non-Chronological, Werewolf, Mental Illness, Hauntings, IMAX: DMR, Prologue, Orphan, Suicide, Reincarnation, Dream Sequence, Young Child Dealing with the Death of a Parent, Abandoned Child, 1700s, Horror Comedy",NA
"73","Apr 20, 2012","The Lucky One","$25,000,000","$22,518,358","$60,457,138","$96,633,833","Play","Drama","81 minutes","Romance, Iraq War, Returning Soldiers, Relationships Gone Wrong",NA
"74","Mar 30, 2012","Wrath of the Titans","$150,000,000","$33,457,188","$83,670,083","$305,270,083","Play","Adventure","99 minutes","3-D, Gods and Goddesses, Visual Effects, Sword & Sorcerer, Monster, Rescue, Heaven and Hell, Dysfunctional Family, IMAX: DMR, Sword and Sandal","Clash of the Titans"
"75","Mar 2, 2012","Project X","$12,000,000","$21,051,363","$54,731,865","$103,028,188","Play","Comedy","87 minutes","Epilogue, Parties Gone Wild, Filmed By a Character, Loss Of Virginity, Black Out Drunk, Inspired by a True Story, Found Footage","Project X"
"76","Dec 25, 2011","Extremely Loud and Incredib…","$40,000,000","$72,348","$31,847,881","$55,247,881","Play","Drama","129 minutes","9/11, Young Child Dealing with the Death of a Parent, Unnamed Character, Terrorism, Autism, Death of a Spouse or Fiancée / Fiancé, Ensemble, Inspired by a True Story, Depression, Voiceover/Narration, 2012 Oscars Best Picture Nominee",NA
"77","Dec 16, 2011","Sherlock Holmes: A Game of …","$125,000,000","$39,637,079","$186,848,418","$535,663,443","Play","Action","129 minutes","Terrorism, Undercover, Cross-Dressing, Secret Identity, Costume Drama, Visual Effects, Private Investigator","Sherlock Holmes"
"78","Nov 9, 2011","J. Edgar","$35,000,000","$11,217,324","$37,306,030","$84,606,030","Play","Drama","137 minutes","Political, Biography, LGBT",NA
"79","Sep 9, 2011","Contagion","$60,000,000","$22,403,596","$75,658,097","$137,551,594","Play","Thriller/Suspense","105 minutes","Medical and Hospitals, Epidemic, Doctors, End of the World, Ensemble, Internet, News, Death of a Spouse or Fiancée / Fiancé, Young Child Dealing with the Death of a Parent, Non-Chronological, IMAX: DMR",NA
"80","Jul 29, 2011","Crazy, Stupid, Love","$50,000,000","$19,104,303","$84,351,197","$147,142,328","Play","Comedy","118 minutes","Relationships Gone Wrong, Relationship Advice, Romance, Coming of Age, Divorcée Romance, Babysitters",NA
"81","Jul 15, 2011","Harry Potter and the Deathl…","$125,000,000","$169,189,427","$381,011,219","$1,341,511,219","Play","Adventure","131 minutes","Boarding School, Good vs. Evil, Non-Chronological, Dragon, Epilogue, Werewolf, Ensemble, Visual Effects, 3-D, IMAX: DMR","Harry Potter"
"82","Jun 17, 2011","Green Lantern","$200,000,000","$53,174,303","$116,601,172","$219,535,492","Play","Action","113 minutes","D.C. Comics, Friendly Alien on Earth, Origin Story, Mad Scientist, Visual Effects, Epilogue, Alien Invasion, Non-Chronological, 3-D, Development Hell",NA
"83","May 26, 2011","The Hangover Part II","$80,000,000","$85,946,294","$254,464,305","$586,464,305","Play","Comedy","102 minutes","Animal Lead, Bachelor Party, Faulty Memory, Narcotics, Black Out Drunk, Wedding Day, Organized Crime, Gratuitous Cameos, Surprise Twist, Day After, Waking Up in an Unknown Location","Hangover"
"84","Apr 8, 2011","Born to be Wild 3D","","$871,478","$25,614,487","$36,283,784","Play","Documentary","40 minutes","3-D, Voiceover/Narration, Animal Lead, Orphan, Animal Rights",NA
"85","Apr 8, 2011","No Eres Tu, Soy Yo","","$588,938","$1,339,911","$1,339,911","","Romantic Comedy","99 minutes","Romance, Relationships Gone Wrong, Foreign Language, Doctors, Immigration",NA
"86","Mar 25, 2011","Sucker Punch","$75,000,000","$19,058,199","$36,392,502","$89,758,389","Play","Action","110 minutes","Prostitution, Mental Illness, Sex Crimes, Dragon, Medical and Hospitals, Escape, Ensemble, Visual Effects, Dystopia, Dysfunctional Family, Robot, Steampunk, War, IMAX: DMR",NA
"87","Mar 11, 2011","Red Riding Hood","$42,000,000","$14,005,335","$37,662,162","$91,678,442","Play","Thriller/Suspense","120 minutes","Dysfunctional Family, Relationships Gone Wrong, Surprise Twist, Curses, Romance, Werewolf",NA
"88","Feb 18, 2011","Unknown","$40,000,000","$21,856,389","$63,686,397","$136,123,083","Play","Thriller/Suspense","108 minutes","Faulty Memory, Mistaken Identity, Surprise Twist, Terrorism",NA
"89","Nov 19, 2010","Harry Potter and the Deathl…","$125,000,000","$125,017,372","$295,983,305","$960,283,305","Play","Adventure","146 minutes","Boarding School, Cliffhanger Ending, IMAX: DMR","Harry Potter"
"90","Apr 1, 2010","Clash of the Titans","$125,000,000","$61,235,105","$163,214,888","$493,214,888","Play","Action","106 minutes","3-D, Remake, Gods and Goddesses, Monster, Visual Effects, Sword and Sandal","Clash of the Titans"
"91","Mar 19, 2010","Hubble 3D","","$413,477","$51,953,160","$67,788,937","Play","Documentary","44 minutes","3-D, Space Program, Edutainment, IMAX: DMR, 3-D - Shot in 3-D, Voiceover/Narration",NA
"92","Feb 26, 2010","Cop Out","$37,000,000","$18,211,126","$44,875,481","$55,909,910","Play","Comedy","107 minutes",NA,NA
"93","Jan 29, 2010","Edge of Darkness","$60,000,000","$17,214,384","$43,313,890","$82,812,456","Play","Drama","120 minutes",NA,NA
"94","Dec 25, 2009","Sherlock Holmes","$90,000,000","$62,304,277","$209,028,679","$498,438,212","Play","Adventure","133 minutes","Private Investigator, Bare Knuckle Fighting","Sherlock Holmes"
"95","Nov 25, 2009","Ninja Assassin","$50,000,000","$13,316,158","$38,122,883","$62,209,892","Play","Action","99 minutes",NA,NA
"96","Oct 16, 2009","Where the Wild Things Are","$100,000,000","$32,695,407","$77,233,467","$99,123,656","","Adventure","100 minutes","IMAX: DMR",NA
"97","Jun 5, 2009","The Hangover","$35,000,000","$44,979,319","$277,322,503","$465,764,086","","Comedy","100 minutes","Black Out Drunk, Day After, Accidental Engagement or Marriage, Body in a Trunk","Hangover"
"98","Feb 13, 2009","Under the Sea 3D","","$661,185","$35,672,566","$46,311,312","","Documentary","41 minutes","3-D, Underwater, Edutainment, Environment, Animal Lead, IMAX: DMR, 3-D - Shot in 3-D, Voiceover/Narration",NA
"99","Dec 19, 2008","Yes Man","$50,000,000","$18,262,471","$97,690,976","$225,990,976","","Comedy","104 minutes",NA,NA
"100","Dec 12, 2008","Gran Torino","$25,000,000","$271,720","$148,095,302","$274,543,085","","Drama","116 minutes","Hood Film",NA
"101","Nov 12, 2008","Slumdog Millionaire","$14,000,000","$360,018","$141,330,703","$384,530,440","","Drama","116 minutes","Romance, Non Professional Actor, Poverty, Homeless, Tortured for Information, Oscars Best Picture Winner",NA
"102","Oct 10, 2008","Body of Lies","$67,500,000","$12,884,416","$39,394,666","$118,556,530","","Thriller/Suspense","128 minutes",NA,NA
"103","Jul 18, 2008","The Dark Knight","$185,000,000","$158,411,483","$533,345,358","$1,001,620,618","","Action","152 minutes","D.C. Comics, Film Noir, Mental Illness, Visual Effects, IMAX: DMR, Posthumous Release","BatmanDark Knight Trilogy"
"104","May 9, 2008","Speed Racer","$120,000,000","$18,561,337","$43,945,766","$93,394,462","","Action","135 minutes","Live Action Cartoon, Visual Effects, Auto Racing, IMAX: DMR, Digital Cinematography",NA
"105","Mar 7, 2008","10,000 B.C.","$105,000,000","$35,867,488","$94,784,201","$269,065,678","","Adventure","109 minutes","Visual Effects, Voiceover/Narration",NA
"106","Sep 14, 2007","The Brave One","$70,000,000","$13,471,488","$36,793,804","$69,792,704","","Drama","122 minutes","Revenge, Psychological Thriller",NA
"107","Jun 15, 2007","Nancy Drew","$20,000,000","$6,832,318","$25,584,685","$30,703,845","","Thriller/Suspense","97 minutes","Private Investigator",NA
"108","Jun 8, 2007","Ocean's Thirteen","$85,000,000","$36,133,403","$117,144,465","$311,744,465","","Adventure","122 minutes","Heist, Revenge, Crime Caper","Ocean's Eleven"
"109","Dec 20, 2006","Letters from Iwo Jima","$13,000,000","$89,097","$13,756,082","$67,867,998","","Drama","101 minutes","World War II, Historical Battles, War",NA
"110","Nov 22, 2006","The Fountain","$35,000,000","$3,768,702","$10,144,010","$15,461,638","","Drama","96 minutes","Time Travel, Terminal Illness",NA
"111","Nov 17, 2006","Happy Feet","$85,000,000","$41,533,432","$198,000,317","$385,000,317","","Adventure","108 minutes","Voiceover/Narration, Dancing, Animal Lead, Talking Animals, IMAX: DMR",NA
"112","Oct 20, 2006","The Prestige","$40,000,000","$14,801,808","$53,089,891","$104,407,366","","Thriller/Suspense","130 minutes","Costume Drama, Performing Arts, Stage Magician, 1890s",NA
"113","Jul 21, 2006","Lady in the Water","$75,000,000","$18,044,396","$42,285,169","$72,785,169","","Drama","110 minutes",NA,NA
"114","Jun 28, 2006","Superman Returns","$232,000,000","$52,535,096","$200,120,000","$374,085,065","","Adventure","150 minutes","D.C. Comics, Visual Effects, Friendly Alien on Earth, 3-D, IMAX: DMR","Superman"
"115","Jun 16, 2006","The Lake House","$40,000,000","$13,616,196","$52,330,111","$114,830,111","","Drama","99 minutes","Time Travel, Surprise Twist",NA
"116","Mar 31, 2006","ATL","$17,000,000","$11,554,404","$21,170,563","$21,170,563","","Comedy","107 minutes","Coming of Age, Miscellaneous Sports, Hood Film",NA
"117","Mar 3, 2006","Deep Sea 3D","","$700,213","$46,264,738","$88,042,920","","Documentary","40 minutes","3-D, Voiceover/Narration, Animal Lead, Underwater, Edutainment",NA
"118","Feb 10, 2006","Firewall","$50,000,000","$13,635,463","$48,751,189","$82,751,189","","Thriller/Suspense","105 minutes","Kidnap, Heist, Revenge",NA
"119","Nov 18, 2005","Harry Potter and the Goblet…","$150,000,000","$102,685,961","$290,013,036","$896,911,078","","Adventure","150 minutes","Boarding School, Visual Effects, IMAX: DMR","Harry Potter"
"120","Oct 21, 2005","North Country","$30,000,000","$6,422,455","$18,324,242","$23,676,771","","Drama","123 minutes","Whistleblowers, Courtroom Drama",NA
"121","Jul 15, 2005","Charlie and the Chocolate F…","$150,000,000","$56,178,450","$206,459,076","$475,825,484","","Adventure","115 minutes","Visual Effects, Food, Spoiled Child, Rags to Riches, Dysfunctional Family, Poverty, IMAX: DMR",NA
"122","Dec 15, 2004","Million Dollar Baby","$30,000,000","$179,953","$100,492,203","$231,928,227","","Drama","132 minutes","Boxing, Oscars Best Picture Winner",NA
"123","Dec 10, 2004","Ocean's Twelve","$110,000,000","$39,153,380","$125,531,634","$362,989,076","","Adventure","125 minutes","Heist, Crime Caper","Ocean's Eleven"
"124","Jun 4, 2004","Harry Potter and the Prison…","$130,000,000","$93,687,367","$249,538,952","$796,688,549","","Adventure","141 minutes","Boarding School, Time Travel, Werewolf, Wrongfully Convicted, Visual Effects, IMAX: DMR","Harry Potter"
"125","Mar 5, 2004","Starsky & Hutch","$60,000,000","$28,103,367","$88,200,225","$170,200,225","","Comedy","101 minutes","Buddy Cop, Frat Pack, 1970s, Narcotics, Drug Dealer, Adapted as a Comedy, Hazing, Police Shooting, Scene in End Credits, Asian-Americans, Hallucinations, LGBT, Surprise Twist, Freeze Frame, Police Procedural, Car Accident",NA
"126","Dec 12, 2003","Something's Gotta Give","$80,000,000","$16,064,723","$124,685,242","$266,685,242","","Romantic Comedy","123 minutes","Romance",NA
"127","Oct 8, 2003","Mystic River","$30,000,000","$640,815","$90,135,191","$156,822,020","","Drama","137 minutes","Psychological Thriller",NA
"128","Sep 12, 2003","Matchstick Men","","$13,087,307","$36,873,198","$59,165,300","","Comedy","116 minutes","Surprise Twist, Confidence Men",NA
"129","Aug 19, 2003","Tom and Jerry: Hijinks and …","","","","","","Adventure","300 minutes",NA,NA
"130","May 15, 2003","The Matrix Reloaded","$150,000,000","$91,774,413","$281,553,689","$738,576,929","","Action","138 minutes","Visual Effects, Post Apocalypse, Artificial Intelligence, Virtual Reality, IMAX: DMR, Posthumous Release","Matrix"
"131","Nov 15, 2002","Harry Potter and the Chambe…","$100,000,000","$88,357,488","$261,987,880","$878,979,634","","Adventure","161 minutes","Boarding School","Harry Potter"
"132","Dec 7, 2001","Ocean's Eleven","$85,000,000","$38,107,822","$183,417,150","$450,728,529","","Thriller/Suspense","116 minutes","Heist, Crime Caper","Ocean's Eleven"
"133","Sep 7, 2001","Rock Star","$38,000,000","$6,018,636","$16,991,902","$19,317,765","","Drama","106 minutes","Rock 'n' Roll, Musicians",NA
